comm_code,item_code,item,unit,group,moisture,comm_group
c001,2805,Rice (Milled Equivalent),tonnes,Primary crops,0.14,Cereals
c002,2511,Wheat and products,tonnes,Primary crops,0.14,Cereals
c003,2513,Barley and products,tonnes,Primary crops,0.14,Cereals
c004,2514,Maize and products,tonnes,Primary crops,0.14,Cereals
c005,2515,Rye and products,tonnes,Primary crops,0.14,Cereals
c006,2516,Oats,tonnes,Primary crops,0.14,Cereals
c007,2517,Millet and products,tonnes,Primary crops,0.12,Cereals
c008,2518,Sorghum and products,tonnes,Primary crops,0.11,Cereals
c009,2520,"Cereals, Other",tonnes,Primary crops,0.14,Cereals
c010,2531,Potatoes and products,tonnes,Primary crops,0.78,Roots and tubers
c011,2532,Cassava and products,tonnes,Primary crops,0.7,Roots and tubers
c012,2533,Sweet potatoes,tonnes,Primary crops,0.7,Roots and tubers
c013,2534,"Roots, Other",tonnes,Primary crops,0.75,Roots and tubers
c014,2535,Yams,tonnes,Primary crops,0.74,Roots and tubers
c015,2536,Sugar cane,tonnes,Primary crops,0.825,Sugar crops
c016,2537,Sugar beet,tonnes,Primary crops,0.77,Sugar crops
c017,2546,Beans,tonnes,Primary crops,0.8,"Vegetables, fruit, nuts, pulses, spices"
c018,2547,Peas,tonnes,Primary crops,0.83,"Vegetables, fruit, nuts, pulses, spices"
c019,2549,"Pulses, Other and products",tonnes,Primary crops,0.1,"Vegetables, fruit, nuts, pulses, spices"
c020,2551,Nuts and products,tonnes,Primary crops,0,"Vegetables, fruit, nuts, pulses, spices"
c021,2555,Soyabeans,tonnes,Primary crops,0.1,Oil crops
c022,2556,Groundnuts (Shelled Eq),tonnes,Primary crops,0.06,Oil crops
c023,2557,Sunflower seed,tonnes,Primary crops,0.07,Oil crops
c024,2558,Rape and Mustardseed,tonnes,Primary crops,0.12,Oil crops
c025,328,Seed cotton,tonnes,Primary crops,0.1,Oil crops
c026,2560,Coconuts - Incl Copra,tonnes,Primary crops,0.4,Oil crops
c027,2561,Sesame seed,tonnes,Primary crops,0.06,Oil crops
c028,254,"Oil, palm fruit",tonnes,Primary crops,0,Oil crops
c029,2563,Olives (including preserved),tonnes,Primary crops,0,Oil crops
c030,2570,"Oilcrops, Other",tonnes,Primary crops,0.1,Oil crops
c031,2601,Tomatoes and products,tonnes,Primary crops,0.94,"Vegetables, fruit, nuts, pulses, spices"
c032,2602,Onions,tonnes,Primary crops,0.89,"Vegetables, fruit, nuts, pulses, spices"
c033,2605,"Vegetables, Other",tonnes,Primary crops,0.95,"Vegetables, fruit, nuts, pulses, spices"
c034,2611,"Oranges, Mandarines",tonnes,Primary crops,0.86,"Vegetables, fruit, nuts, pulses, spices"
c035,2612,"Lemons, Limes and products",tonnes,Primary crops,0,"Vegetables, fruit, nuts, pulses, spices"
c036,2613,Grapefruit and products,tonnes,Primary crops,0.88,"Vegetables, fruit, nuts, pulses, spices"
c037,2614,"Citrus, Other",tonnes,Primary crops,0,"Vegetables, fruit, nuts, pulses, spices"
c038,2615,Bananas,tonnes,Primary crops,0.75,"Vegetables, fruit, nuts, pulses, spices"
c039,2616,Plantains,tonnes,Primary crops,0.66,"Vegetables, fruit, nuts, pulses, spices"
c040,2617,Apples and products,tonnes,Primary crops,0.85,"Vegetables, fruit, nuts, pulses, spices"
c041,2618,Pineapples and products,tonnes,Primary crops,0,"Vegetables, fruit, nuts, pulses, spices"
c042,2619,Dates,tonnes,Primary crops,0.22,"Vegetables, fruit, nuts, pulses, spices"
c043,2620,Grapes and products (excl wine),tonnes,Primary crops,0.81,"Vegetables, fruit, nuts, pulses, spices"
c044,2625,"Fruits, Other",tonnes,Primary crops,0.85,"Vegetables, fruit, nuts, pulses, spices"
c045,2630,Coffee and products,tonnes,Primary crops,0,"Coffee, tea, cocoa"
c046,2633,Cocoa Beans and products,tonnes,Primary crops,0.1,"Coffee, tea, cocoa"
c047,2635,Tea (including mate),tonnes,Primary crops,0.1,"Coffee, tea, cocoa"
c048,677,Hops,tonnes,Primary crops,0,"Vegetables, fruit, nuts, pulses, spices"
c049,2640,Pepper,tonnes,Primary crops,0,"Vegetables, fruit, nuts, pulses, spices"
c050,2641,Pimento,tonnes,Primary crops,0,"Vegetables, fruit, nuts, pulses, spices"
c051,2642,Cloves,tonnes,Primary crops,0.05,"Vegetables, fruit, nuts, pulses, spices"
c052,2645,"Spices, Other",tonnes,Primary crops,0,"Vegetables, fruit, nuts, pulses, spices"
c053,2662,Jute,tonnes,Primary crops,0,Fibre crops
c054,2663,Jute-Like Fibres,tonnes,Primary crops,0,Fibre crops
c055,2664,"Soft-Fibres, Other",tonnes,Primary crops,0,Fibre crops
c056,2665,Sisal,tonnes,Primary crops,0,Fibre crops
c057,2666,Abaca,tonnes,Primary crops,0,Fibre crops
c058,2667,"Hard Fibres, Other",tonnes,Primary crops,0,Fibre crops
c059,2671,Tobacco,tonnes,Primary crops,0,"Tobacco, rubber"
c060,2672,Rubber,tonnes,Primary crops,0,"Tobacco, rubber"
c061,2000,Fodder crops,tonnes,Primary crops,0.85,Fodder crops
c062,2001,Grazing,tonnes,Primary crops,0.8,Grazing
c063,2559,Cottonseed,tonnes,Crop products,0.1,Fibre crops
c064,2562,Palm kernels,tonnes,Crop products,0.1,Oil crops
c065,2541,Sugar non-centrifugal,tonnes,Crop products,0.01,"Sugar, sweeteners"
c066,2544,Molasses,tonnes,Crop products,0.17,"Sugar, sweeteners"
c067,2818,"Sugar, Refined Equiv",tonnes,Crop products,0,"Sugar, sweeteners"
c068,2543,"Sweeteners, Other",tonnes,Crop products,0.1,"Sugar, sweeteners"
c069,2571,Soyabean Oil,tonnes,Crop products,0,Vegetable oils
c070,2572,Groundnut Oil,tonnes,Crop products,0,Vegetable oils
c071,2573,Sunflowerseed Oil,tonnes,Crop products,0,Vegetable oils
c072,2574,Rape and Mustard Oil,tonnes,Crop products,0,Vegetable oils
c073,2575,Cottonseed Oil,tonnes,Crop products,0,Vegetable oils
c074,2576,Palmkernel Oil,tonnes,Crop products,0,Vegetable oils
c075,2577,Palm Oil,tonnes,Crop products,0,Vegetable oils
c076,2578,Coconut Oil,tonnes,Crop products,0,Vegetable oils
c077,2579,Sesameseed Oil,tonnes,Crop products,0,Vegetable oils
c078,2580,Olive Oil,tonnes,Crop products,0,Vegetable oils
c079,2581,Ricebran Oil,tonnes,Crop products,0,Vegetable oils
c080,2582,Maize Germ Oil,tonnes,Crop products,0,Vegetable oils
c081,2586,"Oilcrops Oil, Other",tonnes,Crop products,0,Vegetable oils
c082,2590,Soyabean Cake,tonnes,Crop products,0.1,Oil cakes
c083,2591,Groundnut Cake,tonnes,Crop products,0.1,Oil cakes
c084,2592,Sunflowerseed Cake,tonnes,Crop products,0.1,Oil cakes
c085,2593,Rape and Mustard Cake,tonnes,Crop products,0.1,Oil cakes
c086,2594,Cottonseed Cake,tonnes,Crop products,0.1,Oil cakes
c087,2595,Palmkernel Cake,tonnes,Crop products,0.1,Oil cakes
c088,2596,Copra Cake,tonnes,Crop products,0.12,Oil cakes
c089,2597,Sesameseed Cake,tonnes,Crop products,0.1,Oil cakes
c090,2598,"Oilseed Cakes, Other",tonnes,Crop products,0.1,Oil cakes
c091,2655,Wine,tonnes,Crop products,0.85,Alcoholic beverages
c092,2656,Beer,tonnes,Crop products,0.95,Alcoholic beverages
c093,2657,"Beverages, Fermented",tonnes,Crop products,0.9,Alcoholic beverages
c094,2658,"Beverages, Alcoholic",tonnes,Crop products,0.8,Alcoholic beverages
c095,2659,"Alcohol, Non-Food",tonnes,Crop products,0.2,"Alcohol, Non-Food"
c096,2661,Cotton lint,tonnes,Crop products,0.1,Fibre crops
c097,866,Cattle,1000 Head,Livestock,0,Live animals
c098,946,Buffaloes,1000 Head,Livestock,0,Live animals
c099,976,Sheep,1000 Head,Livestock,0,Live animals
c100,1016,Goats,1000 Head,Livestock,0,Live animals
c101,1034,Pigs,1000 Head,Livestock,0,Live animals
c102,2029,Poultry Birds,1000 Head,Livestock,0,Live animals
c103,1096,Horses,1000 Head,Livestock,0,Live animals
c104,1107,Asses,1000 Head,Livestock,0,Live animals
c105,1110,Mules,1000 Head,Livestock,0,Live animals
c106,1126,Camels,1000 Head,Livestock,0,Live animals
c107,1157,"Camelids, other",1000 Head,Livestock,0,Live animals
c108,1140,Rabbits and hares,1000 Head,Livestock,0,Live animals
c109,1150,"Rodents, other",1000 Head,Livestock,0,Live animals
c110,2848,Milk - Excluding Butter,tonnes,Livestock products,0.875,Milk
c111,2740,"Butter, Ghee",tonnes,Livestock products,0.15,Milk
c112,2744,Eggs,tonnes,Livestock products,0.744,Eggs
c113,2746,Wool (Clean Eq.),tonnes,Livestock products,0,"Hides, skins, wool"
c114,2731,Bovine Meat,tonnes,Livestock products,0.65,Meat
c115,2732,Mutton & Goat Meat,tonnes,Livestock products,0.6,Meat
c116,2733,Pigmeat,tonnes,Livestock products,0.6,Meat
c117,2734,Poultry Meat,tonnes,Livestock products,0.6,Meat
c118,2735,"Meat, Other",tonnes,Livestock products,0.65,Meat
c119,2736,"Offals, Edible",tonnes,Livestock products,0.65,Meat
c120,2737,"Fats, Animals, Raw",tonnes,Livestock products,0.01,Animal fats
c121,2748,Hides and skins,tonnes,Livestock products,0,"Hides, skins, wool"
c122,2749,Meat Meal,tonnes,Livestock products,0.075,Meat
c123,2745,Honey,tonnes,Livestock products,0.17,Honey
c124,2747,Silk,tonnes,Livestock products,0,"Hides, skins, wool"
c125,2960,"Fish, Seafood",tonnes,Fish,0.7,Fish
